ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10899360,JA210797,04/01/2017 01:00:00 AM,008XX E 87TH PL,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,0632,006,8,44,03,1183505,1847146,2017,04/08/2017 03:49:53 PM,41.735756683,-87.603288335,"(41.735756683, -87.603288335)"
10898465,JA210134,04/01/2017 01:00:00 AM,036XX N NEVA AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,1632,016,36,17,05,1127760,1923374,2017,04/08/2017 03:49:53 PM,41.946055235,-87.805805685,"(41.946055235, -87.805805685)"
10897593,JA208687,04/01/2017 01:00:00 AM,005XX N WELLS ST,0870,THEFT,POCKET-PICKING,STREET,false,false,1831,018,42,8,06,1174647,1903665,2017,04/08/2017 03:49:53 PM,41.891051707,-87.63405559,"(41.891051707, -87.63405559)"
10897363,JA208656,04/01/2017 01:00:00 AM,015XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1215,012,27,28,07,1165935,1901517,2017,04/08/2017 03:49:53 PM,41.885347804,-87.666111652,"(41.885347804, -87.666111652)"
10897315,JA208549,04/01/2017 01:00:00 AM,048XX S EVANS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0223,002,4,38,14,1182075,1873049,2017,04/08/2017 03:49:53 PM,41.806870212,-87.607726628,"(41.806870212, -87.607726628)"
10897298,JA208294,04/01/2017 01:00:00 AM,113XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,2234,022,34,75,14,1173015,1829584,2017,04/08/2017 03:49:53 PM,41.687801737,-87.642236002,"(41.687801737, -87.642236002)"
10897229,JA208444,04/01/2017 01:00:00 AM,042XX S DR MARTIN LUTHER KING JR DR,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,false,true,0213,002,3,38,04B,1179561,1877031,2017,04/08/2017 03:49:53 PM,41.817855025,-87.616825316,"(41.817855025, -87.616825316)"
10897091,JA208210,04/01/2017 01:00:00 AM,0000X E CHICAGO AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1833,018,42,8,06,1176718,1905741,2017,04/08/2017 03:49:53 PM,41.896701788,-87.626387093,"(41.896701788, -87.626387093)"
10897088,JA208199,04/01/2017 01:00:00 AM,034XX N BROADWAY,0460,BATTERY,SIMPLE,STREET,true,false,1925,019,44,6,08B,1171394,1923058,2017,04/08/2017 03:49:53 PM,41.94433919,-87.645430882,"(41.94433919, -87.645430882)"
10897067,JA208110,04/01/2017 01:00:00 AM,069XX S RACINE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,0734,007,17,67,08B,1169521,1858712,2017,04/08/2017 03:49:53 PM,41.767809426,-87.654185857,"(41.767809426, -87.654185857)"
10897026,JA208170,04/01/2017 01:00:00 AM,006XX W MELROSE ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1925,019,44,6,06,1171464,1921885,2017,04/08/2017 03:49:53 PM,41.941118892,-87.645208205,"(41.941118892, -87.645208205)"
10896985,JA208119,04/01/2017 01:00:00 AM,002XX W NORTH AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,OTHER,true,false,1814,018,43,7,18,1174063,1910985,2017,04/08/2017 03:49:53 PM,41.911151209,-87.63598179,"(41.911151209, -87.63598179)"
10896984,JA208094,04/01/2017 01:00:00 AM,067XX S STATE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,0322,003,20,69,07,1177438,1860381,2017,04/08/2017 03:49:53 PM,41.772214135,-87.625116247,"(41.772214135, -87.625116247)"
10897105,JA208116,04/01/2017 01:04:00 AM,005XX N ALBANY AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,1221,012,27,23,08B,1155614,1903543,2017,04/08/2017 03:49:53 PM,41.891121295,-87.703957746,"(41.891121295, -87.703957746)"
10897068,JA208117,04/01/2017 01:15:00 AM,026XX N DRAKE AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1412,014,35,22,08B,1152263,1917420,2017,04/08/2017 03:49:53 PM,41.929267846,-87.715897544,"(41.929267846, -87.715897544)"
